argument,topic,set,WA
cosmetic surgery is not something that a person needs and it carries risks,We should ban cosmetic surgery,train,0.768273103
cosmetic surgery is often abused and used for selfish unreasonable motives,We should ban cosmetic surgery,train,0.828917292
cosmetic surgery is often performed to treat someone who has a mistaken perception of their looks,We should ban cosmetic surgery,train,0.48748541
cosmetic surgery is often the last hope for people to change what they dislike about themselves.,We should ban cosmetic surgery,train,0.949655177
"Cosmetic surgery is often used as a bandage over deeper personal issues like depression or anxiety, thereby precluding people from addressing the underlying problem",We should ban cosmetic surgery for minors,train,0.911304121
Cosmetic surgery is often very expensive and not covered by medical insurance.,We should ban cosmetic surgery for minors,train,0.44455597
cosmetic surgery is only for the wealthy and results in poor people feeling worse about themselves.,We should ban cosmetic surgery,train,0.744444513
cosmetic surgery is pointless and takes doctors away from other important fields such as family care,We should ban cosmetic surgery,train,0.976733716
cosmetic surgery is risky in that it can cause adverse affects.,We should ban cosmetic surgery,train,0.870414983
"cosmetic surgery is risky, especially when performed only for vanity purposes.",We should ban cosmetic surgery,train,0.89168405
"cosmetic surgery is risky, expensive  and create a society based on superficial looks.",We should ban cosmetic surgery,train,0.867452954
cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.,We should ban cosmetic surgery,train,0.882512457
"cosmetic surgery is safe, and can help people.",We should ban cosmetic surgery,train,1.0
"cosmetic surgery is should not be allowed for minors because they are not capable of thinking through the consequences are their bodies finished growing and changing so surgery could do more harm than good,",We should ban cosmetic surgery for minors,train,0.490237913
"cosmetic surgery is something that is life long.  which is why minors, who's brains are not fully matured yet, don't have the ability to truly make such a decision for themselves.",We should ban cosmetic surgery for minors,train,0.878693779
cosmetic surgery is sometimes medically necessary and should remain legal for all,We should ban cosmetic surgery for minors,train,0.938046604
cosmetic surgery is taking unnecessary risks.,We should ban cosmetic surgery,train,0.895532922
cosmetic surgery is too big a choice for kids to make.,We should ban cosmetic surgery for minors,train,0.53068792
cosmetic surgery is too dangerous and people should be who they are,We should ban cosmetic surgery,train,0.878544455
cosmetic surgery is too dangerous for an unnecessary procedure which minors are not mature enough to understand,We should ban cosmetic surgery for minors,train,0.897538245
cosmetic surgery is too risky and  people have been killed in surgery.,We should ban cosmetic surgery,train,0.818722827
cosmetic surgery is too risky and unnecessary. it isn't needed to improve a health outcome therefore making it too risky for something completely unnecessary.,We should ban cosmetic surgery,train,0.866421985
cosmetic surgery is too risky for children,We should ban cosmetic surgery for minors,train,0.589454123
cosmetic surgery is unnecessary and creates a impossible body image that children try and feel bad when they can't achieve naturally.,We should ban cosmetic surgery,train,1.0
cosmetic surgery is unnecessary and dangerous  and should be banned.,We should ban cosmetic surgery,train,0.65582069
cosmetic surgery is unnecessary and dangerous.,We should ban cosmetic surgery,train,0.676146285
cosmetic surgery is unnecessary and does not provide health benefits,We should ban cosmetic surgery,train,1.0
Cosmetic surgery is unnecessary and exacerbates the class divide since it is only accessible for those who are wealthier.,We should ban cosmetic surgery for minors,train,0.76753202
cosmetic surgery is unnecessary and invasive serious surgery that performs no medical benefit.,We should ban cosmetic surgery,train,0.881013457
cosmetic surgery is unnecessary and women shouldn't feel obligated to alter their appearance.,We should ban cosmetic surgery,train,0.881124468
cosmetic surgery is unnecessary except for medical purposes,We should ban cosmetic surgery,train,0.566482247
"cosmetic surgery is unnecessary for minors, we should encourage them to be happy with their appearance and to love themselves.",We should ban cosmetic surgery for minors,train,0.703012095
cosmetic surgery is usually a decision made between a doctor and his patient; why should we involve ourselves in that decision?,We should ban cosmetic surgery,train,0.756399179
Cosmetic surgery is very bad for everyone and can kill.,We should ban cosmetic surgery for minors,train,0.449363951
cosmetic surgery is vital for people like burn victims to heal and feel more normal.,We should ban cosmetic surgery,train,1.0
"cosmetic surgery is vital in certain situations such as disfigurement, is very lucrative and deters some from practicing it illegally where the danger of infection is much greater.",We should ban cosmetic surgery,train,1.0
cosmetic surgery isn't medically necessary,We should ban cosmetic surgery,train,0.769476141
cosmetic surgery it is a personal choice and no one has the right to deny them that,We should ban cosmetic surgery,train,1.0
cosmetic surgery just increases the prevalence of body dysmorphia and leaves the poor with no access to such treatments. for these reasons it should be banned.,We should ban cosmetic surgery,train,0.985005139
cosmetic surgery leads to some people becoming disfigured when they are operated on by unskilled surgeons.,We should ban cosmetic surgery,train,0.870733703
cosmetic surgery makes many young people hate their bodies,We should ban cosmetic surgery for minors,train,0.865350318
cosmetic surgery makes people feel better about themselves.,We should ban cosmetic surgery,train,1.0
"cosmetic surgery makes people feel self-conscious about themselves, providing false imagery of natural beauty",We should ban cosmetic surgery,train,0.879895234
cosmetic surgery may boost self-confidence and should not be banned.  if a minor has parental support it should be allowed.,We should ban cosmetic surgery for minors,train,0.918477195
Cosmetic surgery may cause unforeseen complications,We should ban cosmetic surgery,train,1.0
cosmetic surgery may have value for those who feel an aspect of their body is causing them severe mental trauma. also it is beneficial for those who have been in accidents.,We should ban cosmetic surgery,train,1.0
cosmetic surgery might be the only hope for children born with disfigurements that would have severe impact on self-esteem and lead to psychological issues and childhood trauma.,We should ban cosmetic surgery for minors,train,0.8416751
cosmetic surgery often comes with negative health effects.,We should ban cosmetic surgery,train,0.913054277
cosmetic surgery often goes wrong or doesn’t give the desired outcome and therefore requires further procedures.,We should ban cosmetic surgery,train,0.891090413
"cosmetic surgery on minors is not only dangerous, but could lead to major regret later in life for ones too young to understand the implications.",We should ban cosmetic surgery for minors,train,1.0
cosmetic surgery only changes the outer appearance of a person and doesn't deal with the emotional issues that make someone feel they are less perfect just as they are.,We should ban cosmetic surgery,train,0.909834849
"Cosmetic surgery only serves to affirm social stereotypes about what beauty is, minors shouldn't be allowed to get it until they are old enough to recognize the social pressure behind it.",We should ban cosmetic surgery for minors,train,0.727575684
cosmetic surgery only serves to perpetuate eurocentric standards of beauty and makes it more difficult to challenge them.,We should ban cosmetic surgery,train,0.905929449
cosmetic surgery only supports the idea that people needs to look a certain way to be accepted.,We should ban cosmetic surgery,train,0.903576195
"cosmetic surgery opens the door to unhealthy perfectionism with one's appearance - just one procedure might lead to many, many more.",We should ban cosmetic surgery,train,0.794748397
cosmetic surgery ought to be available to anyone who has a disfigurement,We should ban cosmetic surgery,train,1.0
cosmetic surgery ought to be provided for anyone who has a medical necessity,We should ban cosmetic surgery for minors,train,0.739281476
cosmetic surgery perpetuates a quick fix address for underlying issues which would be better dealt with,We should ban cosmetic surgery,train,0.278863677
cosmetic surgery poses too many dangers to children,We should ban cosmetic surgery for minors,train,1.0
cosmetic surgery presents many health risks.,We should ban cosmetic surgery,train,1.0
Cosmetic surgery promotes a capitalistic society that focuses on solving problems with money rather than personal acceptance.,We should ban cosmetic surgery for minors,train,0.695492147
Cosmetic surgery promotes a superficial society that cares more about appearance than personality.,We should ban cosmetic surgery for minors,train,0.885574506
"Cosmetic surgery promotes the idea that physical beauty - a ""perfect"" image - is of utmost importance.",We should ban cosmetic surgery for minors,train,0.616438603
"Cosmetic surgery promotes the sexualization of minors by often being used to make them look more mature (by broadening hips, getting breast enhancements, etc.).",We should ban cosmetic surgery for minors,train,0.872076955
cosmetic surgery promotes unhealthy body image ideals,We should ban cosmetic surgery,train,1.0
cosmetic surgery promotes unrealistic body image and dangerous procedures therefore it should be banned.,We should ban cosmetic surgery,train,0.915302089
cosmetic surgery provides a helpful option to people suffering from many physical and mental issues.,We should ban cosmetic surgery,train,0.934775257
cosmetic surgery provides an important resource for people who have been involved in accidents and helps to enable them to resume a normal life.,We should ban cosmetic surgery,train,0.767512354
cosmetic surgery provides an way for physically disfigured people to return to a more normal lifestyle.,We should ban cosmetic surgery,train,0.981557898
cosmetic surgery re-enforces stereotypes of westernized beauty ideals and widen the gap between those who have the money to fit this image and those who do not.,We should ban cosmetic surgery,train,0.58966322
Cosmetic surgery reinforces beauty standards which are even more problematic for children.,We should ban cosmetic surgery for minors,train,0.90231204
cosmetic surgery ruins the natural beauty they have,We should ban cosmetic surgery,train,0.500803641
"cosmetic surgery serves no medical purpose other than superficial, but still has the same risks as any surgery.",We should ban cosmetic surgery,train,0.756165712
"cosmetic surgery should be a decision a minors parents, doctors, and the minor make and not something else regulated by the government.",We should ban cosmetic surgery for minors,train,0.819679284
cosmetic surgery should be allowed as long as the person undergoing it pays for it themselves,We should ban cosmetic surgery,train,0.702819688
cosmetic surgery should be allowed for children who may have deformities and need the surgery.,We should ban cosmetic surgery for minors,train,0.806074124
cosmetic surgery should be allowed for minor because they may need surgery from an accident or from a deformity that can be fixed before they are old enough to suffer from it.,We should ban cosmetic surgery for minors,train,0.937775626
cosmetic surgery should be allowed in a free enterprise system where people can act of their own free will in making that decision.,We should ban cosmetic surgery,train,1.0
Cosmetic surgery should be banned as it feeds  the belief that people should look a certain way to be accepted.,We should ban cosmetic surgery,train,1.0
cosmetic surgery should be banned as more people are feeling under pressure to become more youthful or beautiful and not all cosmetic surgery is safe,We should ban cosmetic surgery,train,1.0
cosmetic surgery should be banned as some surgeries can be dangerous and have negative side affects which women will have to live with for the rest of their lives.,We should ban cosmetic surgery,train,0.818623816
"cosmetic surgery should be banned because a lot of people these days continuously get it, which can eventually lead to them having a mental disorder.",We should ban cosmetic surgery,train,0.901635882
cosmetic surgery should be banned because it is really not a necessary type of surgery.,We should ban cosmetic surgery,train,0.747838048
cosmetic surgery should be banned because it is unnatural.,We should ban cosmetic surgery,train,0.545574082
"cosmetic surgery should be banned because it leads to a downhill slide for those with body dysmorphic disorder, sometimes causing it altogether.",We should ban cosmetic surgery,train,0.954127969
cosmetic surgery should be banned because the risks attached both to the surgery and in the longer term are not worth the gains.,We should ban cosmetic surgery,train,1.0
cosmetic surgery should be banned for minors because their bodies are still continuing to grow and change.,We should ban cosmetic surgery for minors,train,1.0
cosmetic surgery should be banned for minors because their bodies haven’t even finished developing yet so anything done to correct issues with appearance may be undone by nature anyway.,We should ban cosmetic surgery for minors,train,0.879346351
cosmetic surgery should be banned if minors are having surgery for the wrong reasons for example body image because of peer pressure,We should ban cosmetic surgery for minors,train,1.0
cosmetic surgery should be banned on those who cannot consent for themselves to have it done.,We should ban cosmetic surgery for minors,train,0.708287393
"cosmetic surgery should be banned.   god made you a certain way and these procedures are going against that.   besides, it could be dangerous as joan rivers died from complications during surgery.",We should ban cosmetic surgery,train,0.63844042
cosmetic surgery should be lawful as everyone should be allowed to do anything to their body as long as they are informed and aware of the risks.,We should ban cosmetic surgery,train,0.887979474
"cosmetic surgery should not be banned as it is a person prerogative to do what they wan to their bodies and if it will enhance their self-esteem, then it is for the good rather than the bad.",We should ban cosmetic surgery,train,1.0
cosmetic surgery should not be banned because it helps people recover from traumatic injuries resulting from accidents or disease.,We should ban cosmetic surgery,train,1.0
cosmetic surgery should not be banned because it helps restore confidence to people who have suffered disfigurement.,We should ban cosmetic surgery,train,0.902154886
"cosmetic surgery should not be banned because it is harmless and can boost people's self esteem. also, many people who are burned or injured can get surgery which can fix their horrific scars.",We should ban cosmetic surgery,train,0.888915208
"cosmetic surgery should not be banned for children because there may be born with a disfigurement that may hinder there development, or could be bullied, so a child still might need it to help them out.",We should ban cosmetic surgery for minors,train,0.978666097
"cosmetic surgery should not be banned, its the individuals choice",We should ban cosmetic surgery,train,0.527730717
cosmetic surgery shouldn't be banned because there are plenty of cases and times when someone is in a accident and they actually need it to fix their appearance.,We should ban cosmetic surgery,train,0.790740588
"cosmetic surgery simply forces an ""ideal"" model for children to feel that they need to follow in order to be accepted in the world, and should be banned.",We should ban cosmetic surgery,train,0.978830032
cosmetic surgery sometimes causes more damage then good and some people can become addicted to it.,We should ban cosmetic surgery,train,0.865309133
cosmetic surgery supports the idea that young people are not good enough as they are and that they require invasive procedures in order to look good enough for society.,We should ban cosmetic surgery,train,1.0
cosmetic surgery teaches our daughters that they need to look perfect and never age.,We should ban cosmetic surgery,train,0.722469641
cosmetic surgery that has not been fully researched should be banned.,We should ban cosmetic surgery,train,0.648750022
cosmetic surgery when practiced ethically can offer helpful ways for people with physical or mental issues to overcome their problems.,We should ban cosmetic surgery,train,1.0
cosmetic surgery will only lead minors to get more and more surgery in an attempt to reach an impossible standard.,We should ban cosmetic surgery for minors,train,0.857191985
cosmetic surgery will only reinforce eurocentric beauty standards for people that are potentially too young to understand that implication.,We should ban cosmetic surgery for minors,train,0.518686412
"Cosmetic surgery, like any other surgery, can have potentially fatal complications.",We should ban cosmetic surgery for minors,train,0.757590378
"cosmetic surgery, other than for disfigurments, should be banned.  society puts too much pressure on people to look perfect.  people should embrace individuality.",We should ban cosmetic surgery,train,0.94745854
could in turn put pressure on the economy as tax is increasing which could worse the economic currency,We should adopt an austerity regime,train,0.485978207
could not regulate that because if it is the passion of the child then i could put it into practice as a child grabbing more experience,We should ban the use of child actors,train,0.167923373
could open up congress and create new opportunities for bargaining and coalition building on unusual lines.,We should adopt a multi-party system,train,0.7831813
counselors would probably a similiar option that would work.,We should abolish safe spaces,train,0.143402861
countless studies have determined that homeopathy is no better than a placebo.,Homeopathy brings more harm than good,train,0.955196622
"Countries are unlikely to listen to anti-nuclear weapons advocates, making this sort of advocacy useless.",We should fight for the abolition of nuclear weapons,train,0.380482185
countries can not be allowed to get away with just anything. economic sanctions are a non violent way to punish and effect change of an offending country without the horrors of war.,We should end the use of economic sanctions,train,0.795701183
countries shouldn’t have to provide things to other countries when they’re not comfortable doing so.,We should end the use of economic sanctions,train,0.448355686
countries that abolish nuclear weapons will leave themselves defenseless to the countries that refuse to.,We should fight for the abolition of nuclear weapons,train,0.921095292
"countries that used sex selection, like china, now have a problem with two many older men and not enough women to marry them and have more children for the next generation.",We should legalize sex selection,train,0.703065902
countries where people do not routinely keep guns have far lower murder rates and are far safer than the usa where there is a constitutional right to keep and bear arms,We should abolish the right to keep and bear arms,train,1.0
countries with nuclear weapons are better able to  defend themselves than countries without.,We should fight for the abolition of nuclear weapons,train,0.762746
"couples have the right to explore options for starting a family, and if a third party is willing and able to consent surrogacy should be an option.",Surrogacy should be banned,train,1.0
couples should be able to select the sex of their child since some may only want boys or may want girls.  they may also already have more then one child of a certain sex and want the other sex next time.,We should legalize sex selection,train,0.699051502
"couples who cannot have children of their own, are able to love and care for a child",Foster care brings more harm than good,train,0.816840426
Couples who marry tend to stay together longer than couples who don't marry.,We should abandon marriage,train,0.857527979
courts are the way average people can access justice - judges have the power to right wrongs.,We should limit judicial activism,train,0.622288797
creating a situation that entraps a person into committing a crime should always be illegal. manipulating a person into doing something wrong is not a valid form of legal enforcement.,Entrapment should be legalized,train,0.363548658
"Creating an industry out of nuclear technology also helps create nuclear energy plants, which reduce pollution and increase access to cheap energy.",We should fight for the abolition of nuclear weapons,train,0.880271458
Creating intellectual property is a form of labor and its unfair to allow others to steal and profit from someone else's work,We should abolish intellectual property rights,train,0.913793393
"creating pockets of dense population does not benefit the majority, just the administration of the area.",We should fight urbanization,train,0.773108091
Creating such a secluded environment for this detention camp has encouraged and legitimized unlawful and immoral behaviour on the part of the soldiers in charge of the detainees.,We should close Guantanamo Bay detention camp,train,1.0
creative property is just as important as physical work and should be protected,We should abolish intellectual property rights,train,0.942350762
creative work is just as important as physical work and authors should be compensated,We should abolish intellectual property rights,train,0.851374346
creators have the right to profit from their ideas.,We should abolish intellectual property rights,train,0.758510799
creators need intellectual property rights so that can get paid for what they create.,We should abolish intellectual property rights,train,0.982367913
"Crime rates in states with capital punishment is no different than crime rates in states without, proving that it is an ineffective deterrent.",We should abolish capital punishment,train,1.0
Crime rates increase when there is no fear of a death penalty.,We should abolish capital punishment,train,0.88166782
"crimes as extreme as treason have such long-reaching effects, it is warranted to kill their perpetrators so that they can never benefit from their crimes.",We should abolish capital punishment,train,0.772796449
"Crimes that get the death penalty are rarely premeditated, which means capital punishment doesn't function as a deterant.",We should abolish capital punishment,train,0.903861683
"criminal offenders are judged proportionately  the crime they committed. when the crime is too serious and involved taking the life of a person, it's then the equal judgment",We should abolish capital punishment,train,0.494024359
criminalization does not help people get out of prostitution it rather makes life harder for those trapped in it and perpetrate physical and sexual violence against them,We should legalize prostitution,train,0.897975566
criminals are going to commit the crime either way. by allowing law enforcentment to use entrapment you just catch them sooner and keep that many more people safe.,Entrapment should be legalized,train,1.0
"Criminals are often kept on death row for many years, suffering in anticipation of their death. This makes capital punishment more severe than just depriving the criminal of life.",We should abolish capital punishment,train,0.786264798
criminals can pretend they are in trouble to hide in safe spaces and hurt people that are looking for a place to get away from danger.,We should abolish safe spaces,train,0.547896344
criminals deserve to suffer at the same level of which they've called pain.,We should close Guantanamo Bay detention camp,train,0.57151692
criminals should be caught and not allowed to continue to harm society.  entrapment is an effective means of catching them.,Entrapment should be legalized,train,0.905176512
criminals should be caught by any means possible,Entrapment should be legalized,train,0.805265472
criminals that have committed terrible crimes should not continue to be a burden to society.,We should abolish capital punishment,train,1.0
cultural and historical norms associated with weddings are outdated and became a distressing ordeal,We should abandon marriage,train,1.0
current gun laws are outdated and do not serve the public. countries with stricter gun laws that lack the right to keep and bear arms see fewer homicides and suicides.,We should abolish the right to keep and bear arms,train,0.935700831
Current nuclear treaties make the harms of possessing nuclear weapons incredibly small and easily manageable.,We should fight for the abolition of nuclear weapons,train,0.660222726
Current supreme court precedent in cases like Texas vs. Johnson protect flag burning. Prohibiting it would contradict that precedent.,We should prohibit flag burning,train,0.787231553
"currently 2 parties can't agree enough to accomplish anything, it would only get worse to get multiple parties to all agree on anything.",We should adopt a multi-party system,train,0.672337104
currently the two party system is completely destroying our country.  the solution is a multi-party system.,We should adopt a multi-party system,train,0.765666495
"Customer lists are expensive to purchase and may not be up to date. In addition, these lists often include the names of people who do not want unsolicited sales calls.",We should ban telemarketing,train,0.555272253
cutting spending and making everyone manage with the minimum of consumer goods would stabilize the economy in the midst of the brexit problems. lets stop wasting money and channel it into the health service.,We should adopt an austerity regime,train,0.745037924
dad’s should be able to stay at home and if there was a subsidy for them to do so it would make them feel more able to be home with their kids.,We should subsidize stay-at-home dads,train,0.757792457
dads are less likely to want to stay at home but it may be the better option for women who have great jobs instead of forcing them to quit.,We should subsidize stay-at-home dads,train,0.625075419
dads are likely to stay out of their careers ant might find it difficult to come back to work,We should subsidize stay-at-home dads,train,0.607296882
"dads are responsible for raising their kids, that doesn’t mean they deserve financial help",We should subsidize stay-at-home dads,train,0.8467926
"dads came provide warm, loving care to their children just as mothers can. this would make it easier for them to do so.",We should subsidize stay-at-home dads,train,0.672834693
dads can bond better with their children,We should subsidize stay-at-home dads,train,0.4266346
"dads can choose to be stay at home dads, but they must take the consequences of their choice without society as a whole having to pay for their decisions.",We should subsidize stay-at-home dads,train,0.961824767
"dads can choose to stay at home, but that is the choice they make as opposed to working.  we do not need to subsidize your choice to make it affordable.",We should subsidize stay-at-home dads,train,0.877411605
dads do not always get the same bonding experience the mother gets due to not being able to afford to take time off work to be with their babies and children so subsidising would make for better family life.,We should subsidize stay-at-home dads,train,1.0
dads need to be more involved in their kids lives and subsidizing them to stay at home will make it easier for them to do so,We should subsidize stay-at-home dads,train,0.955252031
"dads on average earn more than mums, many families do not have a resident dad and most could not afford for dad to be at home while mum needs time off to recover from the birth and breast feed.",We should subsidize stay-at-home dads,train,0.525437604
DADS SHOULD BE ABLE TO STAY AT HOME WITH THEIR CHILDREN JUST AS MUCH AS MOTHERS,We should subsidize stay-at-home dads,train,0.582373697
Dads should be allowed  stay home and care for their children without the risk of losing their income.,We should subsidize stay-at-home dads,train,0.963060941
"Dads should be encouraged to go out to work to support their family which is how it's always been, subsidizing them to stay at home would do the opposite of this and would also be a burden on tax payers.",We should subsidize stay-at-home dads,train,0.922532443
dads should be subsidizes to reduce the stigma of a man staying home to raise his children. dads are important to the fabric of the family and staying at home gives the children a new perspective on it.,We should subsidize stay-at-home dads,train,0.715842883
dads should be working and mothers staying at home.,We should subsidize stay-at-home dads,train,0.127097782
Dads should not be subsizided to stay at home because it would be a too much of a burden on taxpayers.,We should subsidize stay-at-home dads,train,0.808803014
dads that stay home are very likely to have financial burdens on their families.,We should subsidize stay-at-home dads,train,0.411974328
dads who choose to stay home are taking away resources from the potential workforce. this could hurt a nation's economy and make the future less promising for younger generations.,We should subsidize stay-at-home dads,train,0.786729104
dads who stay at home are as valuable as moms who stay at home and should be subsidized for the wellbeing of their children,We should subsidize stay-at-home dads,train,0.869620859
"dads who stay home provide a great asset in the raising of future generations of children. therefore, subsidies should be given to them to help them continue in their family endeavors.",We should subsidize stay-at-home dads,train,0.802525207
dads would be able to bond with their babies,We should subsidize stay-at-home dads,train,0.425411038
"dads, just the same as all parents, do not deserve a subsidy to stay at home. its their children and they should be financially responsible for their upbringing.",We should subsidize stay-at-home dads,train,0.695876422
daily i receive calls that waste my time and disturb what i am doing.  calls should be made by me to get info i want.  calls should not bother people who do not want the information.,We should ban telemarketing,train,0.396866286
dangerous criminals that can not be rehabilitated and are a danger to society should be subjected to capital punishment.,We should abolish capital punishment,train,0.62277547
dangerous weapons in the hands of regular citizens is very dangerous for the safety of others and should be strictly limited and controlled,We should abolish the right to keep and bear arms,train,0.829734105
death penalty brings closure to families and saving  taxpayers millions of dollars every year,We should abolish capital punishment,train,0.904498458
Death penalty costs the government less as opposed to life imprisonment without parole.,We should abolish capital punishment,train,0.679843492
"Death penalty is an inhumane, unjust, unnecessary, and inefficient measure.",We should abolish capital punishment,train,1.0
Death with dignity is having the option to decide  your own fate.  You're able to take control of your own fate.  It allows you to leave the world with your true self intact.,Assisted suicide should be a criminal offence,train,0.818368881
"decide when moorir should be a crime, no matter how bad our life is, we should live it and get happiness",Assisted suicide should be a criminal offence,train,0.0
de-emphasizing gender in every day conversation will have long term benefits for humanity.,We should adopt gender-neutral language,train,0.98012319
"definitely yes, we must open space to new ways of thinking and living. these can not be developed widely, but we allow them to communicate in the terms that define them as a group.",We should adopt gender-neutral language,train,1.0
deliberate sale and purchase of sexual services is a completely private matter in which the state should not be involved,We should legalize prostitution,train,0.930216086
democracy could never allow entrapment,Entrapment should be legalized,train,0.47852398
Democratic polling has shown that the majority of people in the world want nuclear weapon abolition - states should fulfill the desires of their people by fighting for it.,We should fight for the abolition of nuclear weapons,train,0.773793665
dense cities concentrate pollution.,We should fight urbanization,train,1.0
denying support to another country because of political reasons is unfair to the common people who have nothing to do with it and need the support.,We should end the use of economic sanctions,train,0.891090413
denying support to other countries could be the only way to get them to listen to your side of the argument.,We should end the use of economic sanctions,train,0.66439619
denying surrogacy effectively bans same-sex couples from having biological children.,Surrogacy should be banned,train,0.923861987
desecration of the flag should be illegal because it’s disrespectful,We should prohibit flag burning,train,0.779141556
desperate people will resort to selling their organs not realizing they will need it when they get older,We should legalize organ trade,train,0.7328605
"despite political beliefs, the flag is an important symbol which should be respected no matter what.",We should prohibit flag burning,train,0.877606674
"despite the medical community wanting naturopathy banned, where is the evidence that it absolutely does not work.  how can using nature not be a effective treatment.  of course it can.",We should ban naturopathy,train,0.651154001
Destroying a human life to potentially improve another's life is immoral and unethical.,We should subsidize embryonic stem cell research,train,0.779941451
destroying human embroyos for research is unethical and immmoral,We should subsidize embryonic stem cell research,train,1.0
Destroying nuclear bombs would work to a nations disadvantage because  they will be vulnerable to attacks,We should fight for the abolition of nuclear weapons,train,0.758252991
detainees are torture and abused there. violating their rights that's why it should be closed now.,We should close Guantanamo Bay detention camp,train,0.761581825
"Detainees at Guanatanamo Bay have been forced to endure cruel and humiliating treatment, such as waterboarding, sleep deprivation, and other physical abuse.",We should close Guantanamo Bay detention camp,train,0.916671856
Detaining terrorists at Guantanamo Bay ensures they cannot plan future attacks on America.,We should close Guantanamo Bay detention camp,train,0.723112939
Detaining terrorists at Guantanamo Bay keeps them off the battlefield.,We should close Guantanamo Bay detention camp,train,0.72936065
developing autonomous cars is a necessity. it would make roads and travel much safer as car accidents account for an incredible amount of deaths. there would be no more drunk and distracted driving accidents.,We should stop the development of autonomous cars,train,1.0
developing autonomous cars will act as a stepping stone towards developing newer technologies in the future,We should stop the development of autonomous cars,train,0.924551295
developing autonomous cars will ruin the economy by getting rid of millions of transportation jobs.,We should stop the development of autonomous cars,train,0.773702853
"Developing nuclear weapons creates spillover technology for space, industrial, and chemical development.",We should fight for the abolition of nuclear weapons,train,0.879434074
developing weapons of destruction diverted resources from more important uses,We should fight for the abolition of nuclear weapons,train,0.751231202
development and progress are costly and very high demanding. governments could only protect our efforts by maintaining strict intellectual property rights,We should abolish intellectual property rights,train,0.469889796
development of autonomous car should continue as this technology is going to keep people from being killed in the future.,We should stop the development of autonomous cars,train,0.82660456
development of autonomous car will make traffic and parking  easier,We should stop the development of autonomous cars,train,0.897672258
"development of autonomous cars should no be stopped because a lot of people (disabled, children, pregnant women) could be in situation where they would need to travel. assisted driving could be their  savior",We should stop the development of autonomous cars,train,0.663991628
development of autonomous cars will lead to better public transportation,We should stop the development of autonomous cars,train,0.985881375
developments in science and technology have been accomplished through space exploration,We should subsidize space exploration,train,1.0
"different people age differently so if a person can phyisically and mentally handle a job, the more power to them",We should end mandatory retirement,train,0.833574467
"disabled people can finally have independence and ""drive"" their own vehicles",We should stop the development of autonomous cars,train,0.88934186
"Disarming all states will make them susceptible when one corrupt state or non-state actor doesn't follow the rules. When everyone has nuclear weapons, there is more of a check on individual dangerous actors.",We should fight for the abolition of nuclear weapons,train,0.658802823
disclaimer: this one is a tough thing to contest on a personal level. we should keep racial profiling because it sometimes streamlines investigative resources.,We should end racial profiling,train,0.780089492
discouraging sick people from traditional medicine is dangerous.,We should ban naturopathy,train,0.909674959
discrimination should never be an option in our society,We should end affirmative action,train,0.657821198
"discrimination still exists, and affirmative action helps combat it.",We should end affirmative action,train,0.935686827
diseases can be cured using cells created for embryonic stem cell research.,We should subsidize embryonic stem cell research,train,1.0
"diseases can only be solved if research is undertaken, so it might be necessary to research using embryos to accomplish this.",We should subsidize embryonic stem cell research,train,0.896808937
Disruptions caused by placement changes in foster care create long term difficulties for these children's abilities to form stable and healthy personal relationships with others.,Foster care brings more harm than good,train,1.0
divorce in polygamous relationships would be more complex and costly.,We should legalize polygamy,train,0.881889127
Do stay at home Mum's currently get subsidized?If not what makes a Dad doing it special?,We should subsidize stay-at-home dads,train,0.405016021
do we really need more parties? the necessity of a multi-party system is completely redundant as unnecessary.,We should adopt a multi-party system,train,0.211324285
doctors take an oath to do no harm - assisting in suicide violates this,Assisted suicide should be a criminal offence,train,0.894527295
doing such a thing will destroy the economy and put people out of jobs,We should adopt an austerity regime,train,0.868224589
dollars wasted on space exploration are better used elsewhere.,We should subsidize space exploration,train,0.34980199
"donated organs could be considered to be a commodity and given that definition, there should be nor barriers to trading them.  it could also supply more organs for transplant.",We should legalize organ trade,train,0.852061653
"don't ban it, regulate it so that it is safer for those that enter into those agreements",Surrogacy should be banned,train,0.945780204
don't ban whaling since it provides many jobs,We should ban whaling,train,0.818863662
don't create a platform for the poor to sell parts of their body to help the rich. no poor person could afford to buy and no rich person would be desperate enough to sell. this unfairly harms the poor doubly.,We should legalize organ trade,train,0.831237898
"Don't let anyone fool you with talks about deterrence and so-called ""nuclear peace"" - weapons are made to kill, this is their sole purpose. And nuclear weapons are made to kill millions! They are pure evil.",We should fight for the abolition of nuclear weapons,train,0.772735102
driverless cars would make the lives of people who are medically unable to drive much easier because they wouldn’t have to rely on someone else for their transport.,We should stop the development of autonomous cars,train,1.0
drivers are often distracted .  autonomous vehicles can do the driving keeping the car from getting into an accident that a distracted driver can cause.,We should stop the development of autonomous cars,train,0.90300202
"due to birth defects or accidents, some minors should have access to cosmetic surgery if anything, just to feel normal.",We should ban cosmetic surgery for minors,train,0.824325664
"due to discrimination and racism still alive today, affirmative action is needed for people who do deserve the job or college acceptance. without it many are denied based on race even if qualified.",We should end affirmative action,train,1.0
"due to overpopulation and climate change and a lack of action on the part of people we'll need nuclear weapons to get rid of excess people in order to give the planet a ""hard reset""",We should fight for the abolition of nuclear weapons,train,0.478630566
