论点,主题,set,WA
死刑往往是对某些犯罪行为唯一可行的回应，并应该被支持。,我们应该废除死刑。,train,0.985344965
死刑比纠缠纷争的昂贵上诉更可取，纳税人不得不承担这些费用。,我们应该废除死刑,train,0.856639048
死刑是预谋谋杀。,我们应该废除死刑。,train,1.0
死刑被视为一种残忍和不人道的对待囚犯的方式。,我们应该废除死刑。,train,0.782340587
死刑只是资源的浪费，而且并不能作为对重大犯罪的有效威慑。,我们应当废除死刑。,train,1.0
死刑有时是阻止罪犯再犯的唯一选择。,我们应该废除死刑。,train,1.0
死刑是对严重犯罪预防的绝对和最终威慑。,我们应该废除死刑。,train,0.831740343
死刑是确保杀人犯不再犯罪的最佳方法,我们应该废除死刑,train,0.845624516
死刑是阻止杀人犯再次犯罪的最好方式。,我们应该废除死刑。,train,0.739091891
死刑是处理反社会人格者最具成本效益的方法。,我们应该废除死刑。,train,0.900474273
死刑是对恶行如连环杀人或儿童强奸等罪行最恰当的惩罚方式，有时甚至都不够。,我们应该废除死刑。,train,0.904498458
对于某些极为恶劣的罪行，死刑是唯一可接受的惩罚，因为终身监禁并不足以应对其邪恶程度。,我们应该废除死刑。,train,1.0
对于犯下严重罪行的罪犯，死刑是唯一真正的解决方案。,我们应该废除死刑。,train,0.613356389
死刑是唯一能够遏制暴力犯罪的方式。,我们应该废除死刑。,train,1.0
死刑是确保囚犯不会被释放的唯一方式，因为囚犯可能会因技术性问题或受到监狱警卫虐待而被释放。,我们应该废除死刑。,train,0.902898213
死刑是惩治那些犯下重大罪行的唯一途径；以牙还牙。,我们应该废除死刑。,train,0.867708542
死刑是最终的威慑。,我们应该废除死刑。,train,1.0
死刑太过危险，因为有时会误杀无辜的人。除非可以确定一个人的有罪，否则死刑总是存在太大的风险。,我们应该废除死刑。,train,0.834351324
死刑是没有用的。监禁实际上要好得多，因为刑事法庭可能会监禁无辜的人。,我们应该废除死刑。,train,0.717241003
死刑是一种暴力行为，实际上并不能帮助任何人。,我们应该废除死刑。,train,0.748795442
死刑是错的，因为它就像是在犯下谋杀。,我们应该废除死刑。,train,0.626331329
死刑可以通过防止监狱人口接触特别恶劣的罪犯，从而使监狱更安全。,我们应该废除死刑。,train,0.641834891
死刑杀害了人。上帝曾说：“你不可杀人！”,我们应该废除死刑,train,0.479104349
死刑使得犯罪的风险变得更大，一旦犯了重罪就会永远失去生命和一切重要的东西，增加了法律系统的威慑力。,我们应该废除死刑。,train,0.776859937
死刑可能有助于应对恐怖主义威胁和袭击的增加。,我们应该废除死刑。,train,0.919376394
死刑可能是公平惩罚极端恶劣犯罪的唯一方式。,我们应该废除死刑。,train,1.0
对于最恶劣的罪行，应当保留死刑作为最终惩罚。必须向他人展示一个例子，让他们认清这是你行为的后果。,我们应该废除死刑。,train,0.916104228
死刑将政府暴力合法化，赋予其对公民生杀大权。,我们应该废除死刑。,train,0.903861683
死刑往往对国家和纳税人的成本更高，比起让某人终身监禁，废除死刑意味着可以节省法院的时间和压力。,我们应该废除死刑。,train,0.900756411
死刑经常出错，导致人们痛苦却仍然活着。,我们应该废除死刑。,train,0.7409447
死刑为受害者家属提供了坚定的结束感，缺乏死刑可能会伤害他们。,我们应该废除死刑。,train,0.887910756
死刑提供了比简单罚款、处罚或轻度监禁更有效的威慑力。,我们应该废除死刑。,train,1.0
死刑提供了一种与犯罪相等的惩罚。如果你杀人，就应该预料会被处死。,我们应该废除死刑。,train,0.778862814
死刑既是最终的威慑手段，也是对最严重罪行的最终惩罚。,我们应该废除死刑。,train,0.861069469
死刑为受害者家庭提供了心理安慰，他们可以放心，罪犯再也无法伤害任何人。,我们应该废除死刑。,train,0.753672276
死刑不提供纠正司法错误的机会。,我们应该废除死刑。,train,1.0
死刑为经历巨大创伤并遭受严重痛苦的受害者及其家人提供了永久的心理安慰。,我们应该废除死刑。,train,0.902389249
死刑为死者的亲人提供了安慰，让他们知道罪犯不会再被释放。,我们应该废除死刑。,train,0.89976197
死刑为受害者家属提供了最好的结果。他们可以更放心，知道伤害他们家人的人再也无法伤害他人。,我们应该废除死刑。,train,1.0
死刑仍然是对严重罪行的一个良好威慑。,我们应该废除死刑。,train,1.0
死刑可以节省金钱和资源，可以用在其他方面，整个社会可以受益，而不是只有一个被判刑的罪犯。,我们应该废除死刑。,train,0.764638944
死刑向其他罪犯传递了这样一个信息：如果你犯下可怕的罪行，你将受到严厉惩罚。,我们应该废除死刑,train,1.0
死刑作为对罪犯的威慑。他们看到了自己和其他人行为的负面后果。,我们应该废除死刑。,train,1.0
死刑作为对最恶劣罪行的最终威慑，从而降低了这些罪行的发生，造福于社会。,我们应该废除死刑。,train,0.98542473
绝对应该废除死刑，因为无论犯人行为如何恶劣，杀害一个人都是不人道的。以眼还眼会让整个世界变得盲目。,我们应该废除死刑。,train,1.0
死刑应该被废除，因为人类无权决定夺走另一个生命，无论那个人做了什么。,我们应该废除死刑。,train,0.910913466
死刑应该被废除，因为人不应该做出夺取生命的决定，而应该将这种决定留给全能的上帝。,我们应该废除死刑。,train,0.616134834
应该废除死刑，因为太多无辜的人因为被错误指控而被处以死刑。,我们应该废除死刑。,train,1.0
应该继续保留死刑，以便用于最极端和可怕的罪行。并非作为威慑，而是作为一种实现某种正义的方式。,我们应该废除死刑。,train,0.75094656
对父母实施死刑应该是可选的，他们应该被允许惩罚孩子的错误，以提高他们对生活中重要事物的注意力。,我们应该废除死刑,train,0.423539288
死刑应从社会中废除，因为它是对犯罪的一种倒退和中世纪式解决方案，在现代社会中是没有位置的。,我们应该废除死刑。,train,0.981760262
死刑不应该被废除。它可以作为对惯犯的威慑。,我们应该废除死刑。,train,0.590219319
在学校中不应使用死刑。,我们应该废除死刑。,train,0.27510303
死刑应当继续有效，作为对可怕犯罪的威慑，以防止这些犯罪失控。,我们应该废除死刑。,train,0.744964172
死刑有时会出错，给受害者造成难以想象的痛苦。,我们应该废除死刑。,train,0.812522754
死刑执行时间太长，而且上诉过程漫长，会花费纳税人的钱。,我们应该废除死刑。,train,1.0
死刑执行时间过长。,我们应该废除死刑。,train,0.467981254
死刑违反了宪法中的“残忍和不寻常的惩罚”条款。,我们应该废除死刑。,train,0.877449149
死刑将制止那些不应存在于这个世界的人。,我们应该废除死刑。,train,0.514165194
死刑会起到对严重犯罪的威慑作用。,我们应该废除死刑。,train,1.0
对那些被错误判处死刑却并未犯下罪行的人来说，死刑是不公平的。,我们应该废除死刑。,train,1.0
死刑错误地赋予政府夺取人类生命的权力。,我们应该废除死刑。,train,1.0
死刑主要针对大多数有色人种，有时甚至会导致无辜者被处死。当你杀死了一个人后，就无法为他们做出赔偿。,我们应该废除死刑。,train,1.0
资本主义在实践中已被证明比依赖集体主义做法的经济体制更快地改善技术并推动创新。,我们应该反对集体主义。,train,0.909892944
资本主义实践在实践中造成了巨大的财富不平等，创造了绝大多数人口的贫困阶层，这意味着虽然创新可能会发生，但大多数人无法分享到这种增长的好处。,我们应该反对集体主义。,train,0.864353544
对儿童演员的严格保护措施应该能够确保他们在追求演艺事业的同时保持安全，从所赚取的钱财中获得未来的繁荣。,我们应该禁止使用童星。,train,0.734456933
怀孕是一种情绪上困难的经历。荷尔蒙会有波动，妊娠期间和产后可能会有抑郁的风险。,代孕应该被禁止。,train,0.858023377
独身可以让男人或女人完全专注和致力于他们对上帝的奉献，不受外界干扰。,应该放弃独身的誓言。,train,0.517561789
独身让神父能够专注于工作和教友，避免处理涉及关系和家庭的复杂问题。,应该放弃独身誓言。,train,0.841693683
独身使神父能够全神贯注于牧区社区，没有分心的因素。,应该放弃独身誓言,train,1.0
独身生活让他们能够更专注于工作，做得更出色，因为这是他们的首要任务。,应该放弃独身誓约。,train,0.934674669
独身主义可以保护年轻人免受疾病侵害。,应当放弃独身誓言,train,0.561521525
独身可以赋予你力量，并使你在最终拥有性生活时更加珍惜它。,应该放弃独身的誓言,train,0.261349738
禁欲在一个人口过剩的世界中可能具有价值。,应该放弃独身誓言,train,0.736363363
独身表明了为将自己的生活奉献于神圣事业而需要的牺牲精神水平。,应该放弃独身誓言。,train,0.918235732
独身主义使本来有才能的人远离了进入神职的机会。,应该放弃独身誓约。,train,0.733669831
禁欲符合他们的宗教，因此放弃它是没有道理的。,应该放弃独身誓言。,train,0.596230802
独身主义有积极的一面，因为它促进自我意识，避免怀孕或性传播疾病。 在圣职中，它可以使人更专心致志地致力于上帝的工作。,应该放弃独身的誓约,train,0.60674722
在21世纪，禁欲已经没有立足之地，因为几乎不可能抑制人类的需求。,应取消独身的誓言,train,1.0
独身主义拥有许多优点，可以预防疾病并避免意外怀孕。,守独身誓言应该被放弃。,train,0.797408856
教会中的独身制度是一种过时的誓言，应该被废除。它会带来伤害，以违背正常性冲动去满足性欲，对容易成为猎物的人进行不自然的行为，而这些正常的行为却被视为罪恶。,应该放弃独身誓言。,train,0.916474835
独身是对一个人信仰的承诺，无论多么荒谬。,应该放弃独身誓言,train,0.452386753
独身主义是天主教会的一项重要教义，应当被允许保持下去，这是宗教实践自由的概念。这表现了对上帝的忠诚，是大多数人永远无法达到的纯洁程度。,应放弃独身誓言,train,0.849666853
独身主义是个人选择。这取决于个人是否遵守，其他人应尊重这个决定。,应该放弃独身的誓约。,train,0.885543777
独身主义是一种非常强烈的宗教信仰。那些信仰独身主义的人应该有权这样做。在他们看来，婚前性行为是罪恶，社会不应该加以评判。,应该放弃禁欲的誓约,train,0.786593758
独身是一种圣洁的状态，教会应当坚守，作为对上帝的奉献。这表明神父的牺牲和对宗教原则的承诺，让人们可以对他们的领袖抱有信仰。,应该放弃独身誓言。,train,0.827780714
独身是对信仰的考验，也是通过拒绝来表达信仰重要性的机会。如果你立誓，重要的是要遵守，否则就会变得毫无意义。,应当放弃独身誓约。,train,1.0
独身主义是一种悠久的传统，使神父能够将注意力完全集中在对教会的承诺上。,应该放弃独身誓言。,train,0.537020682
独身是人们展现对某一事业承诺的方式。因为它需要很大的投入，所以显示了他们对事业和信仰的真正承诺。,应该放弃独身誓言。,train,0.78736637
独身是将自己奉献给上帝的重要部分。,应该放弃独身誓言,train,0.413218388
独身主义是神职和圣洁的重要组成部分。,应该放弃独身誓言,train,0.903183785
独身是向教会展示承诺的重要部分。,应该放弃独身誓言。,train,0.847656325
独身主义是早期教会的一种过时观念。许多神父并没有遵守他们所承诺的誓言。,应该放弃独身誓言,train,1.0
独身主义是一种过时的意识形态，在宗教团体中直到最近才得到应用。,应该放弃独身誓言。,train,1.0
独身主义是一种过时的积极誓约，应该被放弃。,应该放弃独身誓约。,train,0.90234024
独身主义是一种过时的想法，不现实。,应该放弃独身誓言,train,0.843080583
禁欲对人类来说是一种不自然的状态。那些被强加禁欲的人通常会虐待儿童。,应该放弃独身誓言,train,0.944962557
独身主义对人类而言是一种不自然的状态，应该被教会和其他人抛弃。这会导致基于试图压抑正常的生育冲动而产生负面行为。,应该放弃独身的誓约,train,1.0
独身主义是一种不自然的状态；当性冲动被压抑时，它可能会以危险的方式表现出来。,应该放弃独身的誓约。,train,0.877778909
独身主义是过时的，如今的现代社会不再坚持这种观念，因此应该被放弃。,应该放弃独身誓言,train,1.0
独身主义是过时的，随着过度宗教信仰的减少，不再需要鼓励或推广独身主义。,应当放弃禁欲的誓约,train,0.739447282
独身是与上帝的联系，任何对此的禁令都是罪恶，不应触碰。,应该放弃独身的誓言,train,0.588914628
禁欲是为了在精神层面上连接人们，而不是纯粹的肉体。,应该放弃独身的誓约,train,0.871998896
独身不再被视为一种重要的品质,应该放弃独身的誓言,train,0.735667136
独身并非信仰的教条，我认为它是教会的一份礼物，是一个选择，供那些决定不结婚的人选择。,应该放弃独身誓言。,train,0.722760762
独身并不是人类的自然状况，强加于神职人员只会导致他们以不当的方式表达自己的性欲。,应该放弃独身誓言。,train,0.960176767
独身并不是人类自然状态，因此不应强加给任何人。然而，如果一个人希望自愿立誓独身而不受压力，那是可以接受的。,应该放弃独身的誓约,train,0.533890067
独身并非必须作为承诺的行为。,应放弃禁欲誓言。,train,0.392191064
独身主义是古老而过时的，我们需要摒弃这种誓言。,应该放弃独身誓言,train,0.434879537
独身主义是天主教会掩盖儿童虐待事件的原因。,应该放弃独身的誓言,train,0.733560364
独身是人们希望实践的一种方式，这样他们可以将自己的生活奉献给他们认为重要的事情，无论是宗教、体育还是其他什么。,应该放弃独身誓言。,train,0.649767349
独身是个人的选择，也是道德美德的展示，应该被鼓励而不是被打压。,应该放弃独身誓言。,train,0.879576964
独身是预防怀孕的唯一100%有效的方法。,应该放弃独身誓言。,train,0.51398799
独身主义太难坚持了。人有需求。,守独身誓言应该被废除。,train,0.552525064
独身主义在与一个人的信仰有关方面是不自然的，也没有任何实际意义。,应该放弃独身誓约。,train,1.0
独身与个人选择有关。,应该放弃独身誓言。,train,0.703936426
独身让人能够专注于生活中重要的事情。,应该放弃独身誓言。,train,0.437561906
独身主义可以防止年轻人怀孕。,应放弃独身誓言。,train,0.282325859
独身有助于在教士中培养纪律和对上帝的爱，并应被坚守。,应该放弃独身誓言。,train,0.809053204
独身制给神职人员带来不必要的压力，导致了秘密的同性恋和恋童癖，应该停止。,应该放弃独身誓言,train,0.930569663
独身应该是个人的选择，而不是法律规定的事情。,应该放弃独身誓言。,train,0.648343334
禁欲不应该被放弃，因为这是一个人关于个人信仰的表达，并且他们有权利表达这一观点。,应该放弃独身誓言,train,0.815144088
独身主义不应被放弃，因为它对于保持道德、避免意外怀孕和性传播疾病至关重要。,应该放弃独身誓言,train,0.452968101
禁欲不应被抛弃，它在合适的情况下可以赋予力量。,应该放弃独身誓言。,train,0.791373146
独身誓约是人们应该被允许做出的选择。,应该放弃独身誓言,train,0.770393495
独身誓约是不自然的，可能会带来问题。,应该放弃独身誓言。,train,0.841663545
独身誓言抑制了可能以有害方式表现的自然冲动。,应该放弃禁欲的誓约。,train,0.980690943
保持独身的人不会有性传播感染或疾病的风险，因此更健康，所以不应被放弃。,应该放弃独身誓言,train,0.527010423
CEO薪酬已经脱离了控制，过高了。,我们应该限制高管的薪酬,train,0.811096042
CEO们的薪水是普通员工的100倍，而他们实际上并没有创造任何资本。,我们应限制高管薪酬。,train,0.725852792
CEO不应该比他们的员工获得成千上万倍的报酬。,我们应限制高管薪酬。,train,0.698985106
某些文化已经猎捕鲸鱼数千年。,我们应该禁止捕鲸。,train,0.47047587
某些群体比其他群体更容易犯罪。,我们应该结束种族歧视。,train,0.327687053
某些群体需要枪支，比如农村社区的农民，用来处理可能对他们的农作物或牲畜构成威胁的野生动物。,我们应该废除持有和携带武器的权利,train,1.0
某些群体不应该因为他们的祖先受到歧视就得到特殊待遇，比如黑人，当前的这代人并不欠任何人。,我们应该结束平权行动。,train,0.395464528
有些司法错误只能通过法官实践司法激进主义来纠正。,我们应该限制司法激进主义。,train,0.895312796
一些职业，比如警察和空中交通管制员，规定了强制退休年龄，以确保负责他人安全的人保持工作能力。,我们应该结束强制退休。,train,1.0
某些种族和族裔犯罪的频率比其他更高，因此更有必要对他们进行更严格的审查。,我们应该结束种族歧视审查。,train,0.93066874
某些宗教只使用这种类型的医疗护理，这是他们的权利。,我们应该禁止自然疗法。,train,0.976069661
某些类型的 profiling 是必要的。如果你在找银行劫匪，那么确实无需检查正在街上散步的 95 岁老妇人。,我们应该结束种族歧视定性。,train,0.673220622
变化和进步是不可避免的，我们应该接受它。,我们应该停止自动驾驶汽车的发展,train,0.779795695
在民主制度中，平衡政府权力是使民主成为更好的治理形式的关键。司法激活将限制政府滥用权力。,我们应该限制司法激进主义。,train,0.606950412
契诃夫之枪必将在第三幕中被开火；核武器必将在核战争中被使用。,我们应该为废除核武器而奋斗。,train,0.288777391
儿童演员选择做他们所做的事情。,我们应该禁止使用童星。,train,0.431534091
在寄养家庭中，儿童虐待的比例更高。,寄养照顾给予的伤害远大于好处。,train,0.983430443
儿童表演让年轻人在年幼时就有收入。如果你有娱乐的天赋，为什么不呢？,我们应该禁止使用儿童演员。,train,0.890173561
儿童表演是一种剥夺他们青春的童工现象，已导致情感创伤，引发酗酒、药物滥用等问题，甚至更严重的后果。,我们应该禁止使用童星。,train,0.919260639
儿童表演导致许多孩子暴露在成人场合中，导致早熟的性行为和药物使用。他们做的事情不是一个正常的孩子会做的，通常导致抑郁。,我们应该禁止使用童星。,train,1.0
年幼就获得名气的童星通常会经历巨大的发展问题，无法适应成年生活，灯光下的成长并不健康。,我们应该禁止使用儿童演员。,train,1.0
在片场，儿童演员能够接触学校作业，并接受受保护的成长环境。因为没有产生伤害，所以无需禁止在电视和电影中使用儿童。,我们应该禁止使用童星。,train,0.979514144
儿童演员经常遭受创伤或虐待，因此应禁止他们的使用。,我们应该禁止使用童星。,train,1.0
儿童演员是演艺行业的重要组成部分，应该继续允许他们参与，但需施加限制以确保儿童的健康。,我们应该禁止使用童星。,train,0.789006717
儿童演员是电影/电视业的重要组成部分，没有他们将很难进行。,我们应该禁止使用童星。,train,0.652070072
童星面临心理和性虐待的风险，这会破坏他们在生活中的发展。,我们应该禁止使用童星。,train,0.881164522
儿童演员受到现行法律的严格监管和保护，不应该被禁止。,我们应该禁止使用童星。,train,0.839987433
儿童演员们既受到家长的剥削，也受到影视产业的剥削，孩子应该在学习和成长的过程中不工作。,我们应该禁止使用童星。,train,0.980534604
儿童演员被成年人剥削，应该禁止。,我们应该禁止使用童星。,train,0.940839378
儿童演员暴露在太多成人情境中，并在演艺界接触到许多有害行为，因此应禁止儿童演员。,我们应该禁止使用童星。,train,0.871695476
儿童演员接触到了太多成人世界的内容，更容易受到药物和酒精的影响。许多前儿童演员最终成瘾就是因为这个原因。,我们应该禁止使用儿童演员。,train,0.903799423
只要有负责任的成年人看护，就可以使用童星。,我们应该禁止使用童星。,train,0.957639626
大多数情况下，儿童演员被迫扮演他们不想扮演的角色，而他们的家长却揣了钱。,我们应该禁止使用童星。,train,0.877871388
童星被迫过早成熟，表现得像成年人一样。我们需要给他们成为孩子的机会。,我们应该禁止使用儿童演员。,train,1.0
童星被迫过快地长大，他们在很小的时候就被扔进了一个充斥着毒品和性的世界。孩子们应该远离这一切，直到好莱坞对他们安全为止。,我们应该禁止使用童星。,train,0.800925442
儿童演员被迫工作很长时间，通常会被从正规学校中抽离，可能对他们的成长造成伤害。,我们应该禁止使用童星。,train,1.0
在这个领域中，童星扮演者起着重要作用。,我们应该禁止使用童星。,train,0.475404736
儿童演员很重要，因为节目需要展示不同年龄段的人，并反映社会的现实。儿童演员是行业中的重要一部分，需要准确地反映人群。,我们应该禁止使用童星。,train,0.768112884
童星生活在一个成人世界中，看到了他们还太年幼而不应该看到的事情。,我们应该禁止使用童星。,train,0.587184075
儿童演员是必不可少的，孩子们甚至可以从小学习如何工作。,我们应该禁止使用童星。,train,0.745858392
在电影和电视节目中，需要有童星来扮演年轻人的角色。,我们应该禁止使用童星。,train,0.755206736
电视和电影行业需要许多儿童演员。,我们应该禁止使用童星。,train,0.624863191
需要儿童演员扮演那些不能由成年人完成的角色，因此禁止使用他们是不可能的。,我们应该禁止使用童星。,train,0.807580043
所有类型的电影和影视作品都需要儿童演员，因此不应该被禁止。,我们应该禁止使用童星。,train,0.69587573
需要儿童演员来扮演特定角色,我们应该禁止使用童星。,train,0.792755365
需要儿童演员来扮演儿童角色。,我们应该禁止使用童星。,train,0.582490371
需要儿童演员扮演儿童角色。,我们应该禁止使用儿童演员。,train,0.817438196
需要儿童演员来扮演电影和电视节目中的儿童角色。我们不能禁止他们。,我们应该禁止使用童星。,train,0.873413442
未成年演员无法自行作出决定，他们被置身于他们并不理解的情境中，仅为他人的经济利益，应该被禁止。,我们应该禁止使用童星。,train,0.887342072
儿童演员还不够成熟，无法应对演艺界的压力。,我们应该禁止使用童星。,train,1.0
儿童演员因被行业操纵和虐待而臭名昭著。我们必须确保他们的安全。,我们应该禁止使用童星。,train,0.811115813
电影业经常剥削儿童演员，并且不应该使用他们。,我们应该禁止使用童星。,train,0.935802945
孩子演员经常被电影行业或自己的父母剥削。,我们应该禁止使用童星。,train,0.780338687
儿童演员经常被自己的家长利用来谋取利益。,我们应该禁止使用童星。,train,0.899708581
小演员经常被迫在失去表演愿望之后继续演戏，因为合同义务。,我们应该禁止使用童星。,train,0.82863413
小演员通常被迫过快长大，从而永久阻碍了他们的发展。,我们应该禁止使用童星。,train,0.864657127
儿童演员常常被迫过早成熟，错过了传统的童年。,我们应该禁止使用童星。,train,0.891223025
很多儿童演员往往只是被剥削家长控制的傀儡，在年幼时被推上舞台往往会导致后来的不适应和情绪问题。,我们应该禁止使用童星。,train,1.0
年轻演员通常无法获得他们的收入，因为款项由他们的家人控制。,我们应该禁止使用童星。,train,0.761553028
儿童演员经常容易受到急于成功的家长和行业中介的剥削，他们的首要利益在于金钱而非未成年人的福祥。,我们应该禁止使用童星演员。,train,1.0
年轻的演员常常被父母推动参与演艺行业，并由父母掌控他们的收入。,我们应该禁止使用童星。,train,0.839185894
年幼的演员经常被身边的人利用赚钱，一旦年龄太大无法再从事以前的工作时，他们通常会被抛弃，没有人关心。,我们应该禁止使用童星。,train,0.86724102
通常情况下，儿童演员受到良好照顾和监督，很少会受到伤害的机会。,我们应该禁止使用童星。,train,0.741051993
童星被置身于他们还太年幼的环境中。,我们应该禁止使用童星。,train,0.49319106
儿童演员受严格的健康和安全法规保护，他们仍然需要接受学校教育，所赚的钱意味着他们将能够在成年后做他们想做的事情。,我们应该禁止使用童星。,train,0.911087042
年轻演员被置于容易受到侵害的环境中，错失接受教育的机会，也无法在日常生活中建立社交关系。,我们应该禁止使用童星。,train,0.873152772
年幼的童星经受了太多的磨练。我们应该取消他们，只使用CGI或类似的技术。如果一个大公司能够称一部CGI电影为真人电影并且逍遥法外，那这个方法会奏效。,我们应该禁止使用童星。,train,0.736248267
童星们拍戏确实是在劳动，而童工是违法的。,我们应该禁止使用童星。,train,0.537232737
儿童演员被剥夺了童年，并且在成年后因缺失这一重要的童年阶段而面临着许多情绪困扰。,我们应该禁止使用童星。,train,0.856799177
儿童演员被剥夺了童年。,我们应该禁止使用童星。,train,0.731231153
儿童演员是孩子们的榜样，他们对孩子的良好选择产生的影响可能比只有成年演员的电影更大。,我们应该禁止使用童星。,train,1.0
年幼的演员被为终身设定了生活并且应该受到鼓励，而不是被禁止出现。,我们应该禁止使用童星。,train,0.48902278
有时候，童星会被父母逼迫从事这个工作，导致他们错过了正常的童年。这会导致他们在成年后出现功能障碍。,我们应该禁止使用童星。,train,0.889163187
有时候，童星会被过度劳累并置身危险之中，因此应该予以取缔。,我们应该禁止使用童星。,train,1.0
儿童演员承受了太多压力，无法像普通孩子一样和朋友玩耍、上学生活。这种压力通常会导致他们以后生活中出现健康问题。,我们应该禁止使用童星。,train,1.0
儿童演员会受到持续监督，并有导师帮助他们跟上学业进度。,我们应该禁止使用童星。,train,0.562223264
儿童演员们会得到持续监督，受到良好照顾，并有现场辅导老师，以确保他们不会在学业上落后。,我们应该禁止使用童星。,train,0.960198894
儿童演员们受到持续监督，得到很好的照顾，并在片场有导师帮助他们不落后于学业。,我们应该禁止使用童星。,train,0.764560084
儿童演员往往在某种程度上受到剥削和虐待，导致许多问题成年人或早逝，因此，我们应努力消除他们的使用。,我们应该禁止使用童星演员。,train,1.0
儿童演员被视为成年人对待，却错过了孩子们成为健康成年人所需的社交和情感成熟过程。,我们应该禁止使用童星。,train,0.916104228
影视行业中对待童星往往不当。,我们应该禁止使用童星。,train,0.830770329
儿童演员是有用的，因为这让这些儿童能够通过做自己喜欢的事情来谋生。,我们应该禁止使用童星。,train,0.711312495
儿童演员通常会被父母和其他成年人剥削，他们应该被允许做孩子。,我们应该禁止使用童星。,train,0.866338364
童星通常是过分操纵的父母或舞台妈妈的产物，而不是他们自己的意愿。,我们应该禁止使用童星。,train,0.827168081
青少年演员对于娱乐行业至关重要。,我们应该禁止使用童星。,train,0.77921544
儿童演员容易受到公众以及演艺行业中的许多捕食者的伤害，他们的参与应该被禁止。,我们应该禁止使用童星。,train,1.0
表演给予孩子们很好的报酬，让他们轻松地赚到钱，为实现自己在该领域更高远的目标提供了必要的资金。,我们应该禁止使用童星。,train,0.725284192
童星工作时间太长，可能会对他们的身体、情感和学业造成损害。,我们应该禁止使用童星。,train,1.0
儿童演员成年得太快，不应该让他们在成年之前演戏。,我们应该禁止使用儿童演员。,train,0.555554838
小演员给世界带来了很多快乐，我们应该让他们继续下去，只是需要提供更好的指导意见。,我们应该禁止使用童星。,train,0.855116991
儿童演员可能会被过度工作，导致他们无法接受正规教育。,我们应该禁止使用童星。,train,0.715663774
儿童演员可能会被过度工作，他们可能会错失接受教育的机会。如果他们在学校没有获得任何学历，这可能会导致他们在以后的生活中遇到困难。,我们应该禁止使用童星。,train,1.0
青少年演员很容易受到剥削和虐待。,我们应该禁止使用童星。,train,1.0
年幼的演员可以学习有价值的社交技能，这对他们的未来可能有好处。,我们应该禁止使用童星。,train,0.549335617
年轻演员可以通过做自己喜欢的事情为未来赚取可观的收入。,我们应该禁止使用儿童演员。,train,0.880274084
小演员通常在成长过程中不会遇到问题，而且有财富帮助他们生活。拿几个败家子来决定所有人的命运是错误的。,我们应该禁止使用儿童演员。,train,0.691962978
童星可以通过赚取的收入为上大学提供未来保障，并可以在年幼的演艺生涯中得到家人和经纪人的保护，确保他们的安全。,我们应该禁止使用童星。,train,0.853866663
儿童演员不能被禁止，因为一个典型的家庭将永远无法在电影或电视上展示。,我们应该禁止使用童星。,train,0.631301872
儿童演员选择做他们所做的事。,我们应该禁止使用童星。,train,0.277173714
儿童演员不容易被成人或CGI取代，并且有机会参与表演的儿童能学到宝贵的人生经验，得到良好的教育和情感支持，也可以获得丰厚的收入。,我们应该禁止使用童星。,train,0.87542144
童星为年轻人创造了工作机会，为什么我们要剥夺任何人的工作机会呢？,我们应该禁止使用童星。,train,0.489085195
儿童演员没有得到适当的教育，因此应禁止使用儿童演员。,我们应该禁止使用童星。,train,0.819338466
儿童演员不能拥有真正的童年。,我们应该禁止使用童星。,train,0.613644389
儿童演员不能过上正常的少年生活，体验童年的游戏、教育和社会互动，所以应该被禁止。,我们应该禁止使用童星。,train,0.797161167
由于他们的工作性质需要到处工作，因此儿童演员没有正常的成长经历或教育，这对他们的健康有害。,我们应该禁止使用儿童演员。,train,1.0
小演员在拍戏时通常会有一位家庭教师，这样就不会耽误他们的学业。,我们应该禁止使用童星演员。,train,0.70736887
在好莱坞，童星受到剥削，这项禁令将阻止这种情况发生。,我们应该禁止使用童星。,train,0.784885842
童星们能够体验到大多数孩子所不会经历的生活方式，如果工作与正常的孩童体验平衡，那么这将是一种有趣的经历。,我们应该禁止使用童星。,train,0.839080238
小演员习惯了得到爱和关注，然后又失去了。,我们应该禁止使用童星。,train,0.480609764
童星长大后成为功能失调的成年人，因为他们缺少与其他孩子的社交互动，无法学习与同龄人交往的过程。,我们应该禁止使用儿童演员。,train,0.827543858
童星长大后常常面临药物、酒精以及自尊问题的困扰。,我们应该禁止使用童星。,train,1.0
儿童演员比其他孩子有着更广泛的经历，这让他们在成年后拥有更多自信和金钱，可以改善他们的成年生活。,我们应该禁止使用童星。,train,0.768193235
为什么要禁止孩子演员获得学习机会和社交经验，以及对未来职业的宝贵经历呢？,我们应该禁止使用童星。,train,1.0
小演员失去了正常童年的感觉。,我们应该禁止使用童星。,train,0.666048431
儿童演员在很小的年纪就工作，失去了童年时光，他们在充满压力、有毒的环境中长大，而不是在一个充满爱的家庭里。,我们应该禁止使用童星。,train,1.0
童星错过了像普通孩子一样自然成长的机会，缺乏适当的教育，稳定的背景，而且在年幼时就要面对工作的压力，因此他们应该被禁止。,我们应该禁止使用童星。,train,0.885812309
演员小童会错失和同龄孩子的社交机会，并在学业上落后。,我们应该禁止使用童星。,train,0.933046125
儿童演员错过了他们的童年，例如交朋友、参加体育运动和上学。,我们应该禁止使用儿童演员。,train,0.841451701
