争论,主题
协助自杀对于安乐死应该构成刑事犯罪。,协助自杀应被视为刑事犯罪
"""协助自杀应该是上帝法律中的一项犯罪行为。上帝决定你的生命。""",协助自杀应该是一种犯罪行为
协助自杀应该是一个犯罪行为，因为任何形式的自杀（无论是否协助）都是不道德的。,协助自杀应被视为一种犯罪行为
协助自杀应该是一种刑事犯罪，因为归根结底有人丧生，而你参与其中。,协助自杀应该构成犯罪。
协助他人自杀应该是一种犯罪行为，因为无论如何死亡都是死亡，最终某人会死去而你参与其中。,协助自杀应当被视为犯罪行为。
协助自杀应该被视为刑事犯罪，因为这只是谋杀的另一个说法。,协助自杀应该是一种刑事犯罪。
协助自杀应被视为刑事犯罪，因为没有人应该以自杀结束生命。,协助自杀应当是一种刑事犯罪。
协助自杀应被视为谋杀或预谋杀。人们应当自然死亡，而非自杀。,协助自杀应当构成刑事犯罪。
应该允许辅助自杀，因为这样可以让患有绝症的人在遭受漫长而痛苦的死亡之前体面地离世。,协助自杀应被视为犯罪行为
应该允许对患有绝症且痛苦不堪的人实行辅助自杀。,协助自杀应成为刑事犯罪。
如果一个人无法忍受传统医疗治疗的痛苦，应允许协助自杀。这应该是一个人的死亡权利。,协助自杀应被视为犯罪行为。
在某些情况下，比如当一个人患有严重疾病时，辅助自杀应该是被允许的。,协助自杀应该是一种犯罪行为。
应该允许辅助自杀，以避免人们长时间忍受痛苦。,协助自杀应当是一种刑事犯罪。
辅助自杀应该是个体的选择和个人自由。,协助自杀应该是一项刑事犯罪。
协助自杀应该被定为非法，因为没有任何人有权决定另一个人生死。,协助自杀应该是一种犯罪行为。
协助自杀应该是非法的，因为帮助结束生命在道德上从来都不是正确的行为。,协助自杀应该是一种刑事犯罪。
辅助自杀应该在任何地方都是合法的，因为在有一个简单的方法可以结束痛苦时，延长痛苦是不对的。,协助自杀应视为刑事犯罪。
协助自杀应该被合法化，许多人患有令人严重痛苦和虚弱的疾病，他们应该得到咨询和支持，以做出知情选择。,协助自杀应被视为犯罪行为
应该将辅助自杀合法化，这样那些患有绝症或无法忍受疼痛的人可以做出知情选择，以尊严地结束自己的生命，被他们所爱的人包围着。,协助自杀应视为刑事犯罪
协助自杀不应被视为犯罪行为，因为一个人可能真的在遭受痛苦，让他们继续受苦是没有人性的。,协助自杀应该是一种犯罪行为
协助自杀不应被视为犯罪，因为执行者只是在遵循他人的意愿。,协助自杀应该构成刑事犯罪
协助自杀不应该被视为犯罪。如果有人每天因为即将导致他们死亡的病痛而受苦，他们应该被允许按照自己的意愿选择死亡。,协助自杀应视为刑事犯罪。
协助自杀不应作为一种刑事辩护，因为在某些情况下，比如那些患有晚期癌症的人，这么做是给予他们怜悯，让他们免于痛苦。,协助自杀应该是一种犯罪行为
协助自杀不应被视为刑事犯罪，因为人们不应该被期望活在植物人状态下，他们需要帮助来实现自己决定死亡的权利。,辅助自杀应被视为犯罪行为
协助自杀不应该是一种刑事犯罪，因为生活质量欠佳的人不应该被迫无限期地受苦，而他们值得信赖的帮助者也不应该因帮助他们而成为罪犯。,协助自杀应该是一种刑事犯罪。
协助自杀不应被视为违法行为，因为一个人应该能够决定自己想要何时何地去世。,协助自杀应该是一种犯罪行为
协助自杀不应视作刑事犯罪，因为如果有人不愿意活下去，就不应该被强迫。,协助自杀应视为犯罪行为
协助自杀不应被视为刑事犯罪，因为它有助于缓解那些永远无法从疾病或伤害中康复的人的痛苦。,协助自杀应当构成刑事犯罪
协助自杀不应被视为犯罪行为，因为对于一些患有像运动神经元疾病这样令人痛苦的医学状况的人来说，这有时是唯一可以结束生命的方式。,协助自杀应被视为刑事犯罪。
协助自杀不应被视为刑事犯罪，因为此行为属于自杀。,协助自杀应该是一种犯罪行为
如果患者请求进行安乐死，安乐死不应该是一种犯罪行为。,协助自杀应被视为刑事犯罪
协助自杀不应该构成犯罪，因为如果一个亲人患有晚期疾病，这为他们提供了以尊严地死亡的机会，而不是一直痛苦地等待自然死亡。,协助自杀应被视为刑事犯罪
协助自杀不应被视为犯罪行为，因为每个人都应有权在无法得到改善的情况下平静地结束自己的生命。,协助自杀应视为刑事犯罪
协助自杀不应被视为一种犯罪行为，因为如果一个人不想活了，他们为什么要被强迫呢？,辅助自杀应该是一种犯罪行为
协助自杀不应被视为犯罪行为，因为如果有人正在承受足够的痛苦，并且心智清晰地做出决定，他们应该有这个选择。,协助自杀应该是一种刑事犯罪。
协助自杀不应被视为犯罪，因为它帮助那些因终末疾病而饱受痛苦的人们。,协助自杀应被视为犯罪行为。
协助自杀不应被视为犯罪，因为这有助于处于晚期疾病导致剧痛中的人们。,协助自杀应被视为犯罪行为
协助自杀不应被视为犯罪行为，因为当一个人患上严重疾病时，他们不应该被迫继续忍受痛苦。,协助自杀应视为一种犯罪行为
协助自杀不应该是违法行为，因为当你病得无法自拔、丧失希望时，人们应该能够结束痛苦。,协助自杀应被视为一种犯罪行为
协助自杀不应该是一种犯罪行为，因为这应该是一个人针对自己所希望的个人决定。这可以避免对生活质量已经没有改善的人造成几个月甚至数年的痛苦。,协助自杀应该是一种刑事犯罪。
在患终末期癌症等疾病的情况下，只要患者自愿并可以摆脱痛苦，辅助自杀不应被视为刑事犯罪。,协助自杀应当构成犯罪行为
辅助自杀不应被允许，因为生命是珍贵的。,协助自杀应该构成犯罪。
协助自杀不应该作为一个选项，仅仅因为人们正在经历痛苦，因为还有其他帮助缓解疼痛的选择。,协助自杀应该是一种犯罪行为
协助自杀不应该构成犯罪，因为当一个人病得太严重时，医生会实施这项行为。,协助自杀应被视为刑事犯罪。
辅助自杀不应视为刑事犯罪，因为医生会将其作为极度生病的人的选择，以减轻他们的痛苦。,协助自杀应被视为刑事犯罪
协助自杀不应该是一种刑事犯罪，因为每个人都应该有权利决定如果他们不想继续活下去，他们可以得到他人的协助。,协助自杀应被视为刑事犯罪。
协助自杀不应该是一种犯罪行为，因为它允许患者对自己的最终决定拥有控制。,协助自杀应被视为犯罪行为
协助自杀不应该是刑事犯罪，因为它被作为非常病重的人结束他们的痛苦的最后手段。,协助自杀应该是一种刑事犯罪。
辅助自杀不应被视为刑事犯罪，因为有时候人们承受着巨大的痛苦，或者生活无望地躺在床上。,协助自杀应视为刑事犯罪。
如果患有不治之症且必然会死去的人选择辅助自杀，这不应该构成刑事犯罪。,协助自杀应被视为犯罪行为
协助自杀有时是结束痛苦的唯一方法。,辅助自杀应该是一种犯罪行为。
协助自杀通常涉及一个患有晚期疾病的患者，已经厌倦了与痛苦作斗争。他们应该被允许“离开”，并得到协助。,辅助自杀应是一种刑事犯罪。
辅助自杀可以减轻那些患有无法忍受的晚期疾病的人的很多痛苦。,协助自杀应该是一种刑事罪行
协助自杀可以减轻晚期病患的痛苦和苦难。,协助自杀应被视为刑事犯罪。
辅助自杀是较少痛苦的，也是慈悲的行为。,协助自杀应该是一种犯罪行为
协助自杀可以结束那些患终末疾病的人的痛苦。,协助自杀应该是一种犯罪行为
协助自杀不应被视为刑事犯罪，因为一些人在理性思考后得出结论，认为他们的生活质量如此糟糕以致于死亡会更好，而这应当是他们的权利。,协助自杀应该是一种刑事犯罪。
基于医学原因协助自杀不应被视为犯罪行为，因为这个人是基于他人的痛苦做出理智判断的。,协助自杀应该是一种刑事犯罪行为
协助某人结束生命仍然是谋杀行为，必须根据法律予以惩罚。,协助自杀应该是一种犯罪行为
协助别人自杀就等同于谋杀，那个人有道义责任向当局举报那个人的意图,协助自杀应该是一种刑事犯罪
协助自杀和协助谋杀是一样的，都是犯罪。,协助自杀应被视为刑事犯罪
协助自杀应当视为犯罪行为，因为这等同于谋杀共谋。,协助自杀应该是一种犯罪行为
协助自杀仍然是谋杀的从犯,协助自杀应被视为刑事犯罪
协助自杀就是帮助杀人，应该被视为这样的行为。受害者的意图并不重要，谋杀就是谋杀。,协助自杀应视为刑事犯罪。
辅助自杀允许那些患有痛苦且晚期疾病的人选择结束自己的生命，以停止那些将伴随终生的痛苦和折磨。,协助自杀应该是一种刑事犯罪。
在一定年龄后，老年人继续从事工作可能变得危险。,我们应该取消强制退休。
在任何时候，至少有3位前童星正在经历非常公开的崩溃。,我们应该禁止使用童星演员。
每次累犯，我们都必须加重惩罚，这样我们就能避免很多暴力犯罪。,我们应该废除三罢法。
对于孩子，他们应该得到最好的照顾，因为他们无法为自己做出决定。,我们应该禁止自然疗法
在许多体力劳动工作中，年纪较大的员工可能会成为负担，设定强制退休年龄将是一种有效的平衡策略。,我们应该结束强制退休制度
在那个年龄，人们不应该决定是否需要接受整形手术。,我们应该禁止未成年人进行整形手术。
与此同时，这可能会限制学生自由实践宗教的权利。,我们应该禁止学校祈祷。
结婚时，人们承诺互相照顾，如果情况允许，父亲更有能力处理家庭问题，那么质疑这项补贴的目的是什么？,我们应该对居家父亲提供补贴。
在《权利法案》通过时，持有武器的合法能力与今天有所不同。当时，这是个人抵抗压迫政府的原则。而今天，这是为了犯罪分子。,我们应该废除持有和携带武器的权利
目前许多人因为没有获得器官移植而丧生。器官贸易将激励人们更愿意准备好接受他们亲属的器官移植，以拯救他人。,我们应该合法化器官交易
无神论应该被禁止，因为大多数人信仰宗教。,我们应该接受无神论。
无神论为信仰提供了一块空白板。,我们应该采纳无神论。
无神论创造了一个公平竞技场，消除了关于哪种宗教比其他宗教更优越的争论。,我们应该采纳无神论。
无神论有助于减少宗教歧视，并将保持平等的做法，确保人们因共同缺乏宗教信仰而受到平等对待。【翻译完毕】,我们应该接受无神论。
无神论使我们能够真正审视我们为什么相信我们相信的事情，你是否真的是一个好人，还是只是想去天堂。,我们应该采纳无神论。
作为一个选择，无神论应该是可用和得到支持的。,我们应该接受无神论。
无神论作为一种标准应该成为所有政府的默认选择，因为对神话的信仰应该是个人私事。,我们应该采纳无神论。
无神论会滋生仇恨，因为没有对上帝这位全善者的信仰。,我们应该接受无神论。
无神论可以导致不道德行为，因为没有道德准则或宗教指导可遵循。,我们应该接受无神论。
无神论可能会给我们带来巨大的好处，因为它将促进更多科学的观念，这些观念可以防止我们因全球变暖和其他迫在眉睫的挑战而灭亡。,我们应该接受无神论。
无神论可能有助于应对宗教战争，并提高我们生活的质量,我们应该接受无神论。
无神论否定了世世代代进行的崇拜。,我们应该接受无神论。
无神论忽视了把信仰看得很重要的大多数人，并且接受无神论会把很多信徒置于一种歧视性的境地。,我们应该接受无神论。
无神论不能解释我们的道德价值观，事实上，当人们开始相信道德是相对的，并认为强者即是对的，当人们把自己放在第一位时，无神论实际上会破坏道德价值观。,我们应该采纳无神论。
无神论无法解释道德体系是如何建立起来的，并且在不信仰更高权力的前提下容许道德相对主义。,我们应该采纳无神论。
无神论对任何人都没有证明有益。,我们应该接受无神论。
无神论不会因宗教信仰而把人们分类，更倾向于更具包容性。,我们应该接受无神论。
无神论不教授各种宗教所教授的任何价值观或结构。,我们应该接受无神论。
无神论不会让人对自己的行为负责，因为它不会灌输恐惧，认为总有一个更高的权力在监视着。,我们应该采纳无神论。
当考虑到世界上所有被创造的事物时，无神论是站不住脚的。必定存在着上帝。,我们应该采纳无神论。
普遍的无神论将消除宗教偏见和冲突。,我们应该接受无神论。
无神论促进批判性思维，通过创造一个更好的社会，解放公民的道德束缚。,我们应该接受无神论。
无神论促进了智力和人类发展，我们必须接受它,我们应该接受无神论。
无神论培育了人类的负面价值观。,我们应该接受无神论。
无神论给每个人一个清白的非信仰状态。,我们应该接受无神论。
无神论与数十亿人的信仰相悖，只会引发骚动。,我们应该采用无神论。
无神论与基督教相违，而基督教是最主要的宗教。,我们应该接受无神论。
无神论背离了这个国家所基于的一切。,我们应该接受无神论
无神论与这个国家建立的一切背道而驰。,我们应该接受无神论。
无神论是一种贫瘠和毫无成果的生活态度。,我们应该接受无神论。
无神论是一种完全有效的信仰体系，就像宗教一样。,我们应该接受无神论。
无神论是一个可采纳的概念，因为没有宗教可以证明其存在。没有证据，我们只是在延续一个神话。,我们应该接受无神论
无神论是每个人的自由思想方式，不受任何由宗教或教会所规定的信条的支配。,我们应该接受无神论。
无神论对于那些不想接受有组织宗教带来的焦虑的人来说是一个不错的选择,我们应该接受无神论。
无神论是一种有益的信仰，如果每个人都接受了它，世界上就不会有战争。,我们应该接受无神论
无神论是一种合法的信仰体系，它允许一个人独立思考并以自己的方式解决生活问题。它应该像其他信仰体系一样被接受。,我们应该选择无神论。
无神论是一个逻辑且和平的信仰体系，使世界变得更少暴力化。,我们应该采纳无神论。
无神论是对一切的负面拒绝，而人类精神需要有所信仰和向往。,我们应该接受无神论。
无神论是对我们周围世界的理性回应，也是对宗教不断传播的神话的常识性反驳。,我们应该采纳无神论。
无神论是一种有效的信仰，不应受到践踏。,我们应该采纳无神论。
无神论是一种有效的思维形式，就像许多受控宗教一样。我们应该像接受其他信仰一样接纳和接受它。,我们应该采纳无神论。
无神论是一个借口，使我们不相信任何事物。我们不应该采用这种观点。,我们应该接受无神论。
无神论是基于事实信息的。,我们应该接受无神论。
无神论比彼此对抗的各种宗教更好。不信神会团结人们。,我们应该采用无神论。
无神论与圣经的教导背道而驰，应该被禁止。,我们应当接受无神论。
无神论正在在社会中散播放荡和不良习惯。,我们应该接受无神论。
无神论是无神的，从根本上缺乏一种连贯的道德指南，因此不应该被采纳。,我们应该接受无神论。
如果你不是一个信教的人，无神论是很好的。,我们应该接受无神论
无神论与任何宗教都有冲突，因此不应该被采纳。,我们应该接受无神论。
有鉴于这个世界上发生的所有可怕事件，无神论很可能是正确的结论,我们应该接受无神论。
无神论是和平的，不对宗教持有偏见,我们应该接受无神论。
无神论只是那些不想承担对更高权力负责的人的一种简单逃避方式。它不应该在任何公共机构中被采纳。,我们应该采纳无神论。
无神论仅仅是理性思维的最终结果，拒绝盲目相信那些未经证明的事物。这是一种更健康的态度，因为宗教信仰会导致各种形式的不宽容。,我们应该接受无神论。
在太多宗教毁坏了我们的生活之后，无神论是我们社会最理性的选择。,我们应该接受无神论。
无神论是摆脱宗教冲突的方法,我们应该采纳无神论。
无神论冒犯了大多数人的信仰。没有人应该被强迫否认他们对上帝的信仰。,我们应该采纳无神论。
无神论提供了摆脱相信任何宗教的途径，应该被采纳。,我们应该采纳无神论。
无神论消除了对教堂建筑和补贴，支付神职人员等的需求。,我们应该采纳无神论。
应当采纳无神论，因为这将结束几个世纪以来导致战争和死亡的有组织宗教。,我们应该接受无神论。
应该采纳无神论，因为这样对每个人来说似乎都是公平的。,我们应该采用无神论。
应该采纳无神论，因为许多人不相信上帝或更高的力量。,我们应该接受无神论。
应该在国家层面采用无神论，因为没有其他存在可以被证明。,我们应该接受无神论。
无神论应该成为事实上的立场，因为它是对现实唯一可证实的观察，即绝对没有证据证明相反的情况。,我们应该接受无神论。
无神论应该成为所有人的事实标准。如果个人选择相信来自太空的无法证实的、看不见的超级存在，那么他们应该将这种信仰保持私人化，不应该出现在官方或公共场所。,我们应该接受无神论。
无神论应该是一个想要根据自己的规则和理想生活的社会的常态。,我们应该接受无神论。
无神论不应被接受，因为它使人们对自己的行为不负责任。,我们应该接受无神论
不应该采纳无神论，因为这样做会冒犯各个宗教群体。,我们应该采纳无神论。
无神论不应被采纳，因为一个没有神的世界是一个走向毁灭的世界。,我们应该接受无神论。
无神论不应该被采纳，因为它倡导了冷漠和缺乏思考的观念。如果没有来世或生命的意义，我为什么要努力？,我们应该接受无神论。
无神论教导人们的行为没有任何后果。,我们应该接受无神论。
当人们需要信仰时，无神论往往是字面的和消极的,我们应该采纳无神论。
无神论将通过释放无道德或伦理的无神论者掌控政府来毁灭世界，并不应被采用。,我们应该接受无神论。
无神论将为我们的社会提供组织，因为不会出现关于宗教观点的争论。,我们应该接受无神论。
无神论将减轻社会中的宗教不宽容和冲突。,我们应该接受无神论。
无神论将违反我们的宗教自由权利。,我们应该采纳无神论。
无神论对我们的国家会有利，减少冲突。,我们应该接受无神论。
无神论会鼓励我们专注于改善地球上的生活质量，而不是等待死后的永恒奖赏。,我们应该接受无神论。
无神论鼓励我们专注于在地球上拥有的时间，而不是等待一些永恒的奖赏。,我们应该采纳无神论。
无神论会结束许多家庭多年的传统,我们应该接受无神论。
无神论会阻止宗教战争的发生。,我们应该接受无神论。
无神论会剥夺这个国家基于宗教自由而建立起来的权利。,我们应该接受无神论。
无神论可以解决很多宗教间的纷争。,我们应该接受无神论。
无神论将消除宗教仇恨和战争，这些问题在历史上造成了巨大的破坏。,我们应该接受无神论。
无神论、多神论或一神论是个人观点，只应由相信这些观点的人采纳，不受外部压力干扰。,我们应该接受无神论。
无神论者是善良的、友善的人，他们为社区提供帮助。,我们应该接受无神论。
无神论者更有可能关心环境,我们应该接受无神论。
无神论者太可笑了，显然有一位每个人都应该崇拜的神。,我们应该采纳无神论。
无神论者不信仰任何东西，因此无神论是不好的。,我们应该接受无神论。
无神论者鼓励放荡和不良习惯。,我们应该采纳无神论。
无神论者受到许多宗教团体的批评，为了保护他们自己，他们不应该选择无神论。,我们应该采纳无神论。
不信仰宗教的人通常压力更低，因为他们不会为没有达到宗教标准而感到内疚。,我们应该接受无神论。
运动员们经过多年的训练，代表自己的国家参加这项将世界团结在一起的体育赛事，这是不应该被取消的。,我们应该废除奥运会
运动员一生都在训练，希望能代表自己的国家成为最优秀的。,我们应该废除奥运会
运动员们为奥运会努力准备，这值得尊重和效仿。,我们应该废除奥运会
试图通过传教来传播一种信仰是对另一种文化的不尊重。教导他人，告诉他们自己的宗教信仰是错误的，另一种是正确的，在没有证据证明任何一种都正确的情况下，这是错误的。,我们应该禁止传教工作。
上大学是一个选择；为什么应该为做出这个选择的人提供资助呢？,我们应该对学生贷款进行补贴。
吸引最优秀的人才意味着公司需要提供他们能负担得起的最佳高管薪酬方案，以确保公司未来的盈利能力。,我们应该限制高管薪酬。
必须采取严厉措施来控制国债。,我们应该采取紧缩政策。
严厉的措施是减少国债的唯一途径。,我们应该实行紧缩政策
紧缩政策对贫困人群和残障人士的影响比富人更大。,我们应该采取紧缩的制度。
紧缩政策对社会中最贫困的人影响最大，富人却不会感受到影响。,我们应该采取紧缩政策。
紧缩政策的论点通常是伪装成意识形态的论点。 “我们负担不起”的说法通常是“我们不想为此付费”的代号。,我们应该实行紧缩政策
紧缩政策可以有助于重组国家债务。,我们应该采取紧缩政策。
紧缩政策可能会在贫困人口已经艰难时，对他们造成最严重的打击。,我们应该采取紧缩政策。
在经济不稳定时期实行紧缩政策最终会伤害那些依赖社会福利项目的人。,我们应该采取紧缩政策。
紧缩政策将社会中最贫困的群体逼入更深的贫困之中。,我们应该实行紧缩政策
紧缩政策对那些最负担不起的人影响最大。,我们应该实行紧缩政策
"紧缩政策, 总的来说, 在很大程度上是一个彻头彻尾的失败者",我们应该实行紧缩政策
财政紧缩政策通常会导致对最需要支持的社会领域进行支出削减。,我们应该实行紧缩政策。
紧缩是个人选择，不应强加。,我们应该采取紧缩政策。
紧缩政策是适得其反的，因为公共支出受限制对企业和整个经济产生影响。,我们应该实行紧缩政策
紧缩政策与21世纪不相容。,我们应该实施紧缩政策。
在经济不稳定时期，紧缩是必要的以节省资金。 ,我们应该实行紧缩政策。
紧缩政策是必要的，因为它可以减少国家不得不借债的额度。,我们应该实行紧缩政策。
紧缩是让经济恢复正轨的最佳途径,我们应该采取一个紧缩的制度
紧缩政策让每个人的生活更加艰难。,我们应该采取紧缩的制度
紧缩措施对需要自由消费文化才能生存的企业是有害的。,我们应该采取紧缩政策。
紧缩措施抑制经济发展，使经济变得更糟，而不是更好。,我们应该采取紧缩政策。
紧缩措施将有助于减少政府的债务。,我们应该采取一个紧缩的制度
紧缩措施将会增加生活在贫困中的人数。,我们应该实行紧缩政策。
紧缩政策通常在削减福利待遇时会影响到穷人。这会导致儿童贫困和人们不得不使用食品银行。,我们应该采取紧缩政策。
紧缩政策只影响社会中最贫困的人，而对最富有的人并没有影响。,我们应该采取紧缩政策。
紧缩政策只会进一步伤害经济，我们需要投资来实现增长。,我们应该实施紧缩政策
紧缩政策只会导致更大规模的黑市。,我们应该采取紧缩政策。
财政紧缩只会导致经济收缩，从而危及减少债务的机会。,我们应该采取紧缩政策。
紧缩政策只会压制经济，使形势恶化并持续更长时间。,我们应该采取紧缩政策。
需要财政紧缩政策来减少预算赤字。,我们应该实行紧缩政策。
紧缩政策可能导致增长减缓和税收降低，特别是在经济衰退时期。,我们应该采取紧缩政策。
紧缩政策伤害了最贫困的人们。,我们应该实行紧缩政策。
紧缩政策可以提高经济的长期表现。,我们应该采取紧缩政策。
紧缩政策为政府提供了一种切实可行的方式，可以将资金重点投入到最需要的地方，同时“精简浪费”。,我们应该实行紧缩政策。
紧缩政策只会打击那些社会底层的人，使他们的处境变得更糟。富人们是紧缩政策产生的原因，却不受这些政策的影响。,我们应该采取紧缩政策。
紧缩政策是政府的一种重要选择。,我们应该实行紧缩政策。
紧缩政策制度可以极大地降低经济增长。,我们应该实行紧缩政策
紧缩政策可以帮助城市重组。,我们应该实行财政紧缩制度
紧缩政策可以帮助偿还债务,我们应该实行紧缩政策。
紧缩政策已经成功应用于许多国家，一段有限的时间，促使经济复苏。,我们应该采取紧缩政策。
即使国家面临衰退，紧缩政策也不是一个好选择。只有高经济活动和支出才能使经济活动重振。,我们应该采取紧缩政策。
紧缩政策对于在国家经济增长不足时，维持政府只有必要支出至关重要。它有助于削减无用支出，重振经济。,我们应该采取紧缩政策。
当减少国债的其他选择都失败时，实行紧缩政策是必要的，用以解决国家的财政问题。,我们应该采取一个紧缩的制度
紧缩政策并非真正解决方案，它只会削弱经济增长。支出才是推动经济增长的源泉。,我们应该实行紧缩政策。
当政府在无效项目上花费过多资金时，紧缩政策是最佳选择。借钱会让国家陷入巨额债务，实行紧缩政策是正确的做法。,我们应该实行紧缩政策
紧缩政策对穷人和不健康的人是不公平的,我们应该实行紧缩政策。
紧缩政策是错误的，应该由政府来处理，而不是让我们每个人都承担责任。,我们应该采取紧缩政策。
紧缩政策给经济造成了过重的负担。削减支出会导致政府陷入衰退，因为经济活动大大减少。,我们应该采取紧缩政策。
由于国家债务过高且需要显著减少，紧缩政策应该实施。公共支出浪费严重，必须削减开支，使服务和支出更加高效。,我们应该采取紧缩政策。
不应引入紧缩制度，因为这将对弱势群体依赖的服务产生负面影响，比如福利待遇。,我们应该采取紧缩政策。
紧缩政策将迫使政府负责和支出负责。,我们应该采取紧缩政策。
财政紧缩政策将给纳税人带来更大压力。,我们应该采取紧缩政策
紧缩政策将会摧毁英国经济，我们需要人们购买英国商品来帮助我们的工业在脱欧动荡中生存下来。,我们应该采取紧缩政策。
紧缩政策会通过增加税收伤害许多人,我们应该实行紧缩政策
紧缩政策对经济不利，加剧了失业情况。,我们应该采取紧缩政策。
紧缩政策对民主进程有害。,我们应该实行紧缩政策。
紧缩政策对自由社会有害。,我们应该实施紧缩政策
紧缩政策并不有利于民主。,我们应该实行紧缩政策。
紧缩政策是处理国家债务的最佳途径。,我们应该采取紧缩政策。
紧缩政策过于严格，削减太多，不会使美国公民受益。,我们应该采取紧缩的制度。
紧缩政策对穷人是不公平的，因为他们是受到政府削减支出打击最严重的人群。,我们应该实行紧缩政策。
紧缩政策对政府是有用的。,我们应该实行紧缩政策。
紧缩政策对欠发达地区是有益的。,我们应该实行紧缩政策。
紧缩政策在某些情况下可能会有所帮助,我们应该采取紧缩政策。
紧缩制度可能导致大规模失业。,我们应该采取紧缩政策。
紧缩政策可以帮助缓解金融危机带来的冲击，并在理论上确保资金被投入到社会最需要的地方。,我们应该采取紧缩的政策。
紧缩政策可能会提高所得税，从而降低经济增长。,我们应该实行紧缩政策。
紧缩政策会对社会中最贫困的人造成最严重的影响。,我们应该采取节俭的制度。
紧缩政策并不奏效，因为它们会减少可用工作岗位的数量，进而减少货币流通，导致恶性循环。要赚钱，就需要投入资金。,我们应该采取紧缩制度
紧缩政策确保有足够的公共资金且资金被正确引导。,我们应该采取紧缩政策。
紧缩政策会延长经济衰退并使人们境况更糟。,我们应该采取紧缩政策。
紧缩政策对社会中的贫困和依赖群体造成了不成比例的严重影响，而这些群体恰恰是最无法承受开支削减的人群。,我们应该实施紧缩制度
紧缩政策削减对学校和医疗保健的支持，伤害了普通民众。,我们应该实行紧缩政策
紧缩政策几乎让经济无法增长。,我们应该采取紧缩政策。
紧缩政策可能为政府节省了一些开支，但通常是以牺牲普通和弱势公民为代价。,我们应该实行紧缩政策
需要采取紧缩政策来减少预算赤字和债务危机。,我们应该实行紧缩政策。
紧缩政策只会伤害社会底层群体，并不能解决导致政府考虑这些措施的腐败和贪婪问题。,我们应该采取紧缩政策。
紧缩政策为政府提供了一种平衡财政赤字、拯救国家免于经济崩溃的途径。,我们应该采取紧缩制度。
紧缩政策减少政府支出，有助于减少赤字。,我们应该采取紧缩政策。
紧缩政策将资金从我们人口中最脆弱的群体——儿童、老年人和退伍军人——身上剥夺。,我们应该实行紧缩政策。
紧缩政策往往会增加失业率，因为政府削减支出导致裁减工人。,我们应该采取紧缩的政策制度
紧缩政策不应强加，因为这是一个个人决定。,我们应该采取紧缩政策。
紧缩政策只会使金融危机恶化，我们需要政府支出来推动经济复苏。,我们应该实行紧缩政策。
紧缩政策将减少赤字，并从长远来看让国家变得更加繁荣。,我们应该实施紧缩政策。
紧缩政策有助于从长远来看节省开支。,我们应该采取紧缩的政策制度
自动驾驶汽车将取代很多当今从事相关工作的人，很多人将需要接受再培训以适应其他工作（如果这些工作存在的话）。,我们应该停止自动驾驶汽车的发展
自动化使得工业更加高效，这是任何一个工业的主要目标。,我们应该禁止算法交易
自动化可能会使更大规模的交易更顺利进行，但这也会让公司面临更大的风险，因为错误不可避免地会发生。,我们应该禁止算法交易
自动化意味着节约时间和最小化错误。禁止算法交易将是在技术层面上倒退一步。,我们应该禁止算法交易
自动驾驶汽车已经造成了一人死亡。我们不能让道路成为测试空间而造成更多的死亡。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车更安全，因为它们不会睡着、不会酒后驾驶，而且它们的反应时间比人类更快、更准确。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车根本不可靠。任何类型的故障或黑客攻击可能导致许多人丧生，而这些人无力挽救自己的生命。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车的发展必须继续，这样我们才能实现道路上驾驶员行为更加谨慎的目标。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车的发展应该继续，以帮助为大众找到安全、可再生能源的交通方式。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车的开发应该停止，因为它永远不会成功，因为世界上有太多的人口，这将导致事故和交通拥堵，就像今天已经发生的那样。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是未来交通的必需品,我们应该停止自动驾驶汽车的发展
自动驾驶汽车是道路交通的未来，可以帮助人们更安全地驾驶，甚至在使用它们时放松身心。,我们应该停止自动驾驶汽车的发展
无人驾驶汽车可以提供未来更安全的出行方式，不存在人为错误。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车使那些不能驾驶的人能够在不依赖他人的情况下前往必要的探访和约会。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车使那些因为残疾无法开车的人能够前往约会、购物和社交活动，不再与他人隔绝生活。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车对道路上的每个人都构成危险，它们无法像人类驾驶员那样做出反应。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车对社会构成危险，不应该被开发。汽车无法被编程去做判断决定，因此会带来危险。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车对公众构成危险。已经发生了死亡和受伤事故，这种事故在普通车辆上永远不会发生。,我们应该停止自动驾驶汽车的开发
自动驾驶汽车是一个几乎没有经过大规模测试的实体，并且已经在潜在碰撞场景中证明了它们是不可预测和有危险的。,我们应该停止自动驾驶汽车的发展
自动驾驶汽车比人类驾驶员更可靠,我们应该停止自动驾驶汽车的发展
